#v(km/h),   acc(m/s^2),  forceMech(N), powMech(kW), fuelFlow(l/h), consump(liters/100km), Gear
10.00, -0.06, 251.51, 2.198628, 1.21997, 12.19969, 2
10.00, 0.00, 418.17, 2.661591, 1.23934, 12.39342, 2
10.00, 0.06, 584.84, 3.124554, 1.26042, 12.60418, 2
10.00, 0.13, 779.28, 3.664678, 1.28727, 12.87268, 2
10.00, 0.19, 945.95, 4.127641, 1.31225, 13.12251, 2
10.00, 0.26, 1140.40, 4.667764, 1.34367, 13.43673, 2
10.00, 0.33, 1334.84, 5.207888, 1.37747, 13.77474, 2
10.00, 0.39, 1501.51, 5.670850, 1.40826, 14.08256, 2
10.00, 0.46, 1695.95, 6.210974, 1.44617, 14.46166, 2
10.00, 0.53, 1890.40, 6.751097, 1.48609, 14.86089, 2
10.00, 0.60, 2084.84, 7.291221, 1.52787, 15.27871, 2
10.00, 0.66, 2251.51, 7.754184, 1.56505, 15.65050, 2
10.00, 0.73, 2445.95, 8.294307, 1.60988, 16.09884, 2
10.00, 0.80, 2640.40, 8.834431, 1.65615, 16.56152, 2
10.00, 0.86, 2807.06, 9.297394, 1.69685, 16.96845, 2
10.00, 0.93, 3001.51, 9.837517, 1.74541, 17.45413, 2
10.00, 1.00, 3195.95, 10.377641, 1.79504, 17.95042, 2
10.00, 1.06, 3362.62, 10.840604, 1.83834, 18.38339, 2
10.00, 1.13, 3557.06, 11.380727, 1.88965, 18.89646, 2
10.00, 1.20, 3751.51, 11.920850, 1.94172, 19.41717, 2
10.00, 1.26, 3918.17, 12.383813, 1.98689, 19.86891, 2
10.00, 1.33, 4112.62, 12.923937, 2.04016, 20.40157, 2
10.00, 1.40, 4307.06, 13.464060, 2.09396, 20.93961, 2
10.00, 1.46, 4473.73, 13.927023, 2.14046, 21.40460, 2
10.00, 1.53, 4668.17, 14.467147, 2.19510, 21.95102, 2
10.00, 1.60, 4862.62, 15.007270, 2.25012, 22.50118, 2
10.00, 1.66, 5029.28, 15.470233, 2.29754, 22.97538, 2
10.00, 1.73, 5223.73, 16.010357, 2.35313, 23.53132, 2
10.00, 1.79, 5390.40, 16.473320, 2.40099, 24.00989, 2
10.00, 1.86, 5584.84, 17.013443, 2.45703, 24.57034, 2
10.00, 1.93, 5779.28, 17.553567, 2.51328, 25.13279, 2
10.00, 2.00, 5973.73, 18.093690, 2.56970, 25.69699, 2
10.00, 2.06, 6140.40, 18.556653, 2.61818, 26.18181, 2
10.00, 2.13, 6334.84, 19.096776, 2.67487, 26.74867, 2
10.00, 2.20, 6529.28, 19.636900, 2.73167, 27.31672, 2
10.00, 2.26, 6695.95, 20.099863, 2.78044, 27.80443, 2
10.00, 2.33, 6890.40, 20.639986, 2.83743, 28.37426, 2
10.00, 2.40, 7084.84, 21.180110, 2.89449, 28.94489, 2
10.00, 2.46, 7251.51, 21.643073, 2.94345, 29.43454, 2
10.00, 2.53, 7445.95, 22.183196, 3.00064, 30.00636, 2
10.00, 2.60, 7640.40, 22.723320, 3.05787, 30.57870, 2
10.00, 2.66, 7807.06, 23.186283, 3.10696, 31.06965, 2
10.00, 2.73, 8001.51, 23.726406, 3.16428, 31.64279, 2
10.00, 2.80, 8195.95, 24.266529, 3.22163, 32.21627, 2
10.00, 2.86, 8362.62, 24.729492, 3.27081, 32.70807, 2
10.00, 2.93, 8557.06, 25.269616, 3.32821, 33.28208, 2
10.00, 3.00, 8751.51, 25.809739, 3.38563, 33.85632, 2

12.00, -1.00, -2826.55, 0.000000, 0.21895, 1.82459, 2
12.00, -0.93, -2593.22, 0.000000, 0.53295, 4.44128, 2
12.00, -0.86, -2359.88, 0.000000, 0.76670, 6.38921, 2
12.00, -0.80, -2159.88, 0.000000, 0.91770, 7.64748, 2
12.00, -0.73, -1926.55, 0.000000, 1.04978, 8.74813, 2
12.00, -0.66, -1693.22, 0.000000, 1.14595, 9.54958, 2
12.00, -0.60, -1493.22, 0.000000, 1.20716, 10.05964, 2
12.00, -0.53, -1259.88, 0.000000, 1.26055, 10.50456, 2
12.00, -0.46, -1026.55, 0.000000, 1.30021, 10.83510, 2
12.00, -0.40, -826.55, 0.000000, 1.32683, 11.05691, 2
12.00, -0.33, -593.22, 0.000000, 1.35245, 11.27039, 2
12.00, -0.26, -359.88, 0.300387, 1.37482, 11.45679, 2
12.00, -0.19, -126.55, 1.078164, 1.39598, 11.63321, 2
12.00, -0.13, 73.45, 1.744831, 1.41432, 11.78601, 2
12.00, -0.06, 306.78, 2.522609, 1.43689, 11.97412, 2
12.00, 0.00, 506.78, 3.189276, 1.45781, 12.14840, 2
12.00, 0.06, 706.78, 3.855942, 1.48051, 12.33761, 2
12.00, 0.13, 940.12, 4.633720, 1.50954, 12.57952, 2
